"source","target","value"
"Parkano","Espoo",3
"Parkano","Eurajoki",1
"Parkano","Isokyrö",1
"Parkano","Jyväskylä",1
"Parkano","Kauhajoki",2
"Parkano","Liperi",2
"Parkano","Seinäjoki",1
"Parkano","Tampere",6
"Parkano","Vaasa",1
"Helsinki","Parkano",1
"Hämeenkyrö","Parkano",2
"Hämeenlinna","Parkano",1
"Jyväskylä","Parkano",1
"Järvenpää","Parkano",1
"Kankaanpää","Parkano",1
"Kokkola","Parkano",1
"Kouvola","Parkano",1
"Kuusamo","Parkano",1
"Mänttä-Vilppula","Parkano",1
"Tampere","Parkano",5
"Ylöjärvi","Parkano",1
